,Ligand,Concentration,Animal,Cell,Predicted
33,hIL4,-13.108496756464882,Human,Monocyte,0.00452315742741798
34,hIL4,-13.08403646787291,Human,Monocyte,0.004783965026249655
35,hIL4,-13.059576179280935,Human,Monocyte,0.005059734358285579
36,hIL4,-13.035115890688962,Human,Monocyte,0.005351314654529138
37,hIL4,-13.010655602096989,Human,Monocyte,0.005659602272888752
38,hIL4,-12.986195313505016,Human,Monocyte,0.0059855431857328495
39,hIL4,-12.961735024913043,Human,Monocyte,0.006330135583449896
40,hIL4,-12.93727473632107,Human,Monocyte,0.006694432597533624
41,hIL4,-12.912814447729096,Human,Monocyte,0.007079545146563314
42,hIL4,-12.888354159137123,Human,Monocyte,0.007486644908252083
43,hIL4,-12.86389387054515,Human,Monocyte,0.007916967420487787
44,hIL4,-12.839433581953177,Human,Monocyte,0.008371815313981608
45,hIL4,-12.814973293361204,Human,Monocyte,0.00885256167876496
46,hIL4,-12.790513004769231,Human,Monocyte,0.009360653566323913
47,hIL4,-12.766052716177256,Human,Monocyte,0.00989761562862495
48,hIL4,-12.741592427585283,Human,Monocyte,0.010465053894655624
49,hIL4,-12.71713213899331,Human,Monocyte,0.011064659684368584
50,hIL4,-12.692671850401338,Human,Monocyte,0.011698213659063207
51,hIL4,-12.668211561809365,Human,Monocyte,0.012367590006257062
52,hIL4,-12.64375127321739,Human,Monocyte,0.013074760755971424
53,hIL4,-12.619290984625417,Human,Monocyte,0.01382180022406913
54,hIL4,-12.594830696033444,Human,Monocyte,0.014610889576823698
55,hIL4,-12.570370407441471,Human,Monocyte,0.015444321509244994
56,hIL4,-12.545910118849498,Human,Monocyte,0.016324505027828694
57,hIL4,-12.521449830257524,Human,Monocyte,0.017253970326307315
58,hIL4,-12.49698954166555,Human,Monocyte,0.01823537374064718
59,hIL4,-12.472529253073578,Human,Monocyte,0.01927150276693546
60,hIL4,-12.448068964481605,Human,Monocyte,0.020365281122913446
61,hIL4,-12.423608675889632,Human,Monocyte,0.021519773830719298
62,hIL4,-12.399148387297657,Human,Monocyte,0.022738192294882796
63,hIL4,-12.374688098705684,Human,Monocyte,0.02402389934574637
64,hIL4,-12.350227810113712,Human,Monocyte,0.02538041421425658
65,hIL4,-12.325767521521739,Human,Monocyte,0.026811417399453922
66,hIL4,-12.301307232929766,Human,Monocyte,0.028320755384982285
67,hIL4,-12.276846944337793,Human,Monocyte,0.029912445155517466
68,hIL4,-12.252386655745818,Human,Monocyte,0.03159067845815981
