,Cell,Animal,Predicted,Ligand,Concentration
44,Ramos,Human,0.0002580467177154267,hIL4,-13.549574850668897
45,Ramos,Human,0.0002737632236001956,hIL4,-13.52389024341137
46,Ramos,Human,0.0002904366343386574,hIL4,-13.498205636153846
47,Ramos,Human,0.0003081251713344423,hIL4,-13.47252102889632
48,Ramos,Human,0.00032689059335350515,hIL4,-13.446836421638796
49,Ramos,Human,0.0003467984108127433,hIL4,-13.421151814381272
50,Ramos,Human,0.000367918112970669,hIL4,-13.395467207123746
51,Ramos,Human,0.000390323408787,hIL4,-13.369782599866221
52,Ramos,Human,0.00041409248226236385,hIL4,-13.344097992608695
53,Ramos,Human,0.00043930826311597466,hIL4,-13.318413385351171
54,Ramos,Human,0.0004660587137084656,hIL4,-13.292728778093645
55,Ramos,Human,0.0004944371331688162,hIL4,-13.26704417083612
56,Ramos,Human,0.0005245424797390061,hIL4,-13.241359563578595
57,Ramos,Human,0.0005564797124073648,hIL4,-13.21567495632107
58,Ramos,Human,0.000590360152962094,hIL4,-13.189990349063546
59,Ramos,Human,0.0006263018696598303,hIL4,-13.16430574180602
60,Ramos,Human,0.0006644300837708416,hIL4,-13.138621134548496
61,Ramos,Human,0.0007048776003324461,hIL4,-13.11293652729097
62,Ramos,Human,0.0007477852645155372,hIL4,-13.087251920033445
63,Ramos,Human,0.0007933024450861404,hIL4,-13.06156731277592
64,Ramos,Human,0.0008415875465242922,hIL4,-13.035882705518395
65,Ramos,Human,0.0008928085514468354,hIL4,-13.010198098260869
66,Ramos,Human,0.0009471435950686984,hIL4,-12.984513491003344
67,Ramos,Human,0.0010047815735290168,hIL4,-12.95882888374582
68,Ramos,Human,0.0010659227880041758,hIL4,-12.933144276488294
69,Ramos,Human,0.0011307796266294976,hIL4,-12.90745966923077
70,Ramos,Human,0.001199577286354895,hIL4,-12.881775061973244
71,Ramos,Human,0.001272554536967117,hIL4,-12.85609045471572
72,Ramos,Human,0.0013499645296227518,hIL4,-12.830405847458195
73,Ramos,Human,0.0014320756523509696,hIL4,-12.804721240200669
74,Ramos,Human,0.0015191724351038313,hIL4,-12.779036632943145
75,Ramos,Human,0.0016115565070541314,hIL4,-12.753352025685619
76,Ramos,Human,0.0017095476089658327,hIL4,-12.727667418428094
77,Ramos,Human,0.0018134846635906956,hIL4,-12.701982811170568
78,Ramos,Human,0.001923726907174964,hIL4,-12.676298203913044
79,Ramos,Human,0.002040655085293087,hIL4,-12.650613596655518
80,Ramos,Human,0.002164672716359107,hIL4,-12.624928989397993
81,Ramos,Human,0.0022962074263016405,hIL4,-12.59924438214047
82,Ramos,Human,0.0024357123580226905,hIL4,-12.573559774882943
83,Ramos,Human,0.002583667659394428,hIL4,-12.547875167625419
84,Ramos,Human,0.0027405820536795618,hIL4,-12.522190560367893
85,Ramos,Human,0.0029069944963884395,hIL4,-12.496505953110368
86,Ramos,Human,0.003083475922709334,hIL4,-12.470821345852844
87,Ramos,Human,0.0032706310897637255,hIL4,-12.445136738595318
88,Ramos,Human,0.003469100518045695,hIL4,-12.419452131337792
89,Ramos,Human,0.0036795625365001797,hIL4,-12.393767524080268
90,Ramos,Human,0.00390273543577649,hIL4,-12.368082916822743
91,Ramos,Human,0.004139379734258196,hIL4,-12.342398309565217
92,Ramos,Human,0.00439030056151485,hIL4,-12.316713702307693
93,Ramos,Human,0.004656350163841143,hIL4,-12.291029095050167
94,Ramos,Human,0.004938430536539622,hIL4,-12.265344487792643
95,Ramos,Human,0.005237496187561534,hIL4,-12.239659880535118
96,Ramos,Human,0.0055545570370376315,hIL4,-12.213975273277592
97,Ramos,Human,0.0058906814571042234,hIL4,-12.188290666020066
98,Ramos,Human,0.0062469994562500564,hIL4,-12.162606058762542
99,Ramos,Human,0.0066247060121699,hIL4,-12.136921451505017
100,Ramos,Human,0.007025064556802548,hIL4,-12.111236844247491
101,Ramos,Human,0.007449410616844921,hIL4,-12.085552236989967
102,Ramos,Human,0.00789915561255983,hIL4,-12.059867629732441
103,Ramos,Human,0.008375790817119678,hIL4,-12.034183022474917
104,Ramos,Human,0.008880891478043483,hIL4,-12.008498415217392
105,Ramos,Human,0.00941612110147071,hIL4,-11.982813807959866
106,Ramos,Human,0.009983235899063478,hIL4,-11.95712920070234
107,Ramos,Human,0.010584089396218965,hIL4,-11.931444593444816
108,Ramos,Human,0.01122063719899011,hIL4,-11.905759986187292
109,Ramos,Human,0.011894941915636621,hIL4,-11.880075378929766
110,Ramos,Human,0.012609178227041051,hIL4,-11.854390771672241
111,Ramos,Human,0.013365638098303797,hIL4,-11.828706164414715
112,Ramos,Human,0.014166736121654089,hIL4,-11.80302155715719
113,Ramos,Human,0.015015014978363007,hIL4,-11.777336949899667
114,Ramos,Human,0.015913151004587227,hIL4,-11.75165234264214
115,Ramos,Human,0.01686395984299434,hIL4,-11.725967735384616
116,Ramos,Human,0.017870402158590783,hIL4,-11.70028312812709
117,Ramos,Human,0.018935589393367865,hIL4,-11.674598520869566
118,Ramos,Human,0.020062789530184907,hIL4,-11.648913913612041
119,Ramos,Human,0.021255432831685385,hIL4,-11.623229306354515
120,Ramos,Human,0.02251711751498677,hIL4,-11.59754469909699
121,Ramos,Human,0.023851615317371205,hIL4,-11.571860091839465
122,Ramos,Human,0.02526287690222266,hIL4,-11.54617548458194
